12	传统的软件工程方法与面向对象的软件工程方法比较	刘红霞	雁北师范学院学报	2002-05-21	期刊	19	413	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=YBSF200202021&DbName=CJFD9902&DbCode=CJFQ	该文介绍了软件工程方法的主要内容 ,并且对传统的软件工程方法与面向对象的软件工程方法进行比较 .	软件工程学 ； 软件工程方法 ； 软件的生存周期 ； 需求分析 ； software engineering ； methodology of software engineering ； existance cycle of software ； demand analysis ； object-oriented ；
13	融合CDIO理念的“GIS软件工程”实践教学改革研究	杨林	测绘通报	2015-12-25	期刊		70	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=CHTB201512035&DbName=CJFDLAST2016&DbCode=CJFQ	实践教学是理工科学生实践能力培养的关键一环。本文对中国地质大学地理信息系统专业的特色进行了分析,以CDIO国际先进工程教育理念为指导,探讨了"GIS软件工程"实践课程的教学过程,设计了由基本技能、产品工程、过程管理及设计规范4个模块构建的实践方案,并定义了基于CDIO的产品、过程和系统的GIS-SE生命周期模型和细化内容,可为相关专业工程化创新人才培养目标下的教学改革提供参考。	GIS软件工程 ； CDIO理念 ； 实践教学 ； 工程师目标 ；
14	错位与匹配:高职学生可持续发展能力现状调查及研究——以武汉软件工程职业学院为例	黄俊亮	时代农机	2015-10-28	期刊		13	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=HNNJ201510074&DbName=CJFDLAST2016&DbCode=CJFQ	从学生视角出发,采用调查问卷、实证分析等方法,在分析学生与用人岗位需求可持续发展能力所存在错位的基础上,运用匹配的相关理论,分析寻找高职学生可持续发展能力的关键指标及对策。	高职生 ； 可持续发展能力 ； 现状调查 ； higher vocational students ； sustainable development ability ； The status quo survey ；
15	独立学院软件工程专业转型发展探讨	邱珊	现代计算机(专业版)	2015-12-05	期刊		39	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=XDJS201534004&DbName=CJFDLAST2016&DbCode=CJFQ	针对独立学院转设和转型带来的机遇和挑战,通过对软件工程专业毕业生就业单位和优秀毕业生的调研,分析近几年来培养方案的实施效果和存在的问题,提出软件工程专业应用技术型人才培养"转型"方案。优化课程体系,修订人才培养方案,强调"做中教、做中学",提高实践环节教学质量,加强校企合作人才培养,加强双师型队伍建设和加强学生的创新能力和职业能力教育,提高软件工程专业人才培养质量。为独立学院软件工程专业教学改革以培养新型复合型应用技术型人才提出新思路。	软件工程专业 ； 转型 ； 人才培养 ； Software Engineering Major ； Transformation ； Talent Training ；
16	融合软件工程思想的C语言实验教学改革探讨	楼轶超	计算机时代	2015-12-15	期刊	1	22	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSJS201512031&DbName=CJFDLAST2016&DbCode=CJFQ	针对C语言实践教学中存在的问题,提出将软件工程思想引入C语言课程设计的教学改革中。以项目任务为主线,按照软件工程方法分组、分阶段地实施课程设计。实践教学过程中强化学生的计算思维训练,采用实践任务表驱动和阶段性验收方式培养学生自主学习能力,从而提高C语言程序设计实践课程的教学质量。	C语言课程设计 ； 实践教学 ； 软件工程思想 ； 计算思维 ； C language curriculum design ； practical teaching ； software engineering ideas ； computational thinking ；
17	微课在软件工程专业教学中的研究与实践	李红	无线互联科技	2015-09-25	期刊	1	40	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201518032&DbName=CJFDLAST2016&DbCode=CJFQ	"微课"成为一种新型的教学资源,其短小精悍的特点,能让人在短时间的移动中掌握一个知识点或解决一个小问题。为了提高教学效果,文章结合软件工程专业学生的特点,以《数据库原理》和《算法设计与分析》为例,从资源设计到应用推广,设计了适合软件工程专业学生的微课程资源。	微课 ； 教学设计 ； 数据库原理 ； 算法设计与分析 ； Micro course ； instructional design ； Database Principle ； design and Analysis of Algorithms ；
18	基于工程教育认证标准的持续质量改进——以Z大学全国示范性软件工程专业为例	余天佐	清华大学教育研究	2015-11-20	期刊	1	412	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=QHDJ201506015&DbName=CJFDLAST2016&DbCode=CJFQ	持续改进被认为是工程教育认证的核心理念之一。然而,在实践中如何以工程教育认证标准为依据,实现专业的持续改进,不仅是工程教育认证机构关切的问题,而且是工程专业教育实现可持续发展的内在要求。本文以某全国示范性软件工程专业为案例,从专业教育重要利益相关者毕业生和雇主的视角,分别收集、分析专业教育的质量信息,从专业培养目标、学习结果、课程、教学、评价等角度进行深度归因分析,为改进软件工程专业教育提出了方略建议,希冀对工程相关专业的持续改进提供参考。	工程教育 ； 认证标准 ； 持续改进 ； 软件工程 ； engineering education ； accreditation criteria ； continuous quality improvement ； software engineering ；
19	针对软件工程专业“操作系统原理”双语教学的探索	田丽华	电脑知识与技术	2015-12-25 09:20	期刊		20	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201523044&DbName=CJFDLAST2016&DbCode=CJFQ	该文针对软件工程的专业背景和应用需求,结合我校"操作系统原理"课程的双语教学实践情况,从教材选择、教学模式、教学组织及考核方式等几方面对双语教学的思路和方法进行了探索与实践,以提高教学质量,培养满足社会需要的软件工程专业人才。	软件工程 ； 操作系统原理 ； 双语教学 ； Software Engineering ； Operating System Principle ； bilingual teaching ；
20	软件工程课程的几种教学方法探讨	李小波	电脑知识与技术	2015-12-28 10:29	期刊		25	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201526053&DbName=CJFDLAST2016&DbCode=CJFQ	软件工程是计算机专业学生必修的核心课程之一。结合软件工程课程的教学实践,提出了多种教学方法,分析了其主要特点,并举例探讨了其在软件工程课程教学中的应用。软件工程课程教学要注意合理采用多种教学方法,以期达成良好的教学效果。	计算机课程 ； 软件工程 ； 教学方法 ； computer courses ； software engineering ； teaching methods ；
21	软件工程专业和计算机软件与理论专业的内涵与反思	王文剑	高等理科教育	2015-12-20	期刊	1	85	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GDLK201506016&DbName=CJFDLAST2016&DbCode=CJFQ	教育部于2011年对一级学科进行了调整,软件工程成为新增设的一级学科。文章根据60所具有软件工程一级学科博士点和硕士点的高校官网,对其公布的研究方向和培养方案进行统计,并对其中拥有计算机软件与理论二级学科的高校的研究方向和培养方案进行对比分析,结果表明,目前国内软件工程学科与计算机科学与技术一级学科(特别是二级学科计算机软件与理论)在研究方向、培养方案、课程体系等方面有诸多重叠。为此,文章初步讨论了在大数据、物联网、云计算等信息技术发展新趋势下,软件工程学科研究方向的凝练和研究生培养中应着重考虑的关键方法和技术,希望通过加强对软件工程学科内涵的理解,更好地进行人才培养。	软件工程学科 ； 计算机软件与理论学科 ； 内涵建设 ； software engineering discipline ； computer software and theory discipline ； connotation construction ；
22	电子技术与软件工程		电子技术与软件工程	2015-12-01	期刊		5	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201523227&DbName=CJFDLAST2016&DbCode=CJFQ	<正>《电子技术与软件工程》杂志.是由中国科学技术协会主管、中国电子学会主办的国内外公开发行的一份国家级综合性的权威科技类半月刊,国内刊号:CN10-1108/TP;国际刊号:ISSN2095-5650,旨在全方位推广电子各专业技术以及软件工程新技术、新成果。本刊创刊伊始,得到了中国科学技术协会及中国电子学会领导的高度重视,要求杂志社要倾力打造一本服务于电子技术及软件工程领域的企事业单位。本刊已被	软件工程 ； 中国电子学会 ； 企事业单位 ； 一本 ；
23	《软件工程 功能规模测量 MkII功能点分析方法》标准解读	滕逸龙	信息技术与标准化	2015-11-10	期刊		32	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZBZ201511018&DbName=CJFDLAST2016&DbCode=CJFQ	介绍了行业标准《软件工程功能规模测量Mk II功能点分析方法》的编制背景、意义和主要内容,重点分析了与非等效采用的国际标准ISO/IEC 20968:2002的主要差异,包括非核心内容的删减、规模测量过程方法性的概括和提炼、更加合理的章节内容重新编排等,并对标准实施的产业化前景和预期收益进行了分析。	软件工程 ； 功能规模测量 ； 功能点分析 ； 功能点计数 ； software engineering ； functional size measurements ； function point analysis ； function point counting ；
24	基于CDIO模式的软件工程实践教学课程建设的研究	陈澎	软件工程	2016-01-05	期刊	1	52	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=ZGGC201601001&DbName=CJFDLAST2016&DbCode=CJFQ	CDIO模式是一种全新的工程教育理念和实施体系,注重培养学生获得扎实的基本理论和工程专业知识,同时对教育过程和工程领域详细情景进一步耦合。本文将CDIO模式运用到WebGIS实践教学课程中,从教学组织、学习组织形式和师资管理等多个方面阐述了具体实施过程,并对考核方式和改革效果进行了分析和说明。	CDIO ； 实践教学 ； 教学改革 ； CDIO ； practice teaching ； transformation of education ；
25	融合式的实践教学在软件工程专业中的应用	罗晓霞	科教导刊(上旬刊)	2016-01-11 13:35	期刊		26	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJDS201512048&DbName=CJFDLAST2016&DbCode=CJFQ	为了提高软件工程专业学生的实践能力,提出了融合式的实践教学。本文从实践教材内容、实践课程之间的关系、课内课外、校企合作、多种方式考核五个方面阐述了适合软件工程专业的实践教学方法。通过近几年的教学实施,学生的专业知识扎实了,动手与创新能力增强了,参加课外科研活动的积极性更高了,荣获各类竞赛的人数逐年上升。学生实践能力的提升更有利于就业,能够较快地适应新的工作。	融合 ； 实践教学 ； 实践能力 ； integration ； practice teaching ； practical ability ；
26	软件工程全日制专业硕士课程体系改革探讨	马巧梅	计算机时代	2016-01-15	期刊		38	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSJS201601021&DbName=CJFDLAST2016&DbCode=CJFQ	软件工程全日制专业硕士的培养目标是培养高层次应用型人才。根据软件工程全日制专业硕士培养目标的要求,详细分析了本校课程体系具体情况,指出了存在的不足之处并提出了改革措施。改革措施主要包括:增加课内实践环节、加大选修课比例、设置选修课程群、融入前沿交叉学科等,使修订之后的课程体系满足社会对应用型人才的要求。	专业硕士 ； 课程体系 ； 改革措施 ； 软件工程 ； professional master ； curricula system ； reform measures ； software engineering ；
27	软件工程教学中基于游戏的模拟教学法及其应用分析	王静	科教文汇(中旬刊)	2016-01-20	期刊	2	28	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJWZ201601028&DbName=CJFDLAST2016&DbCode=CJFQ	基于游戏的模拟教学法是目前国外软件工程教学中较为成熟的一类提高计算机相关专业学生实践能力的手段,目前在国内高校相关专业的教学中也有一定应用。本文在国内外软件工程教学中常用的游戏模拟器基础上,简要总结了该方法在国内外高校中的应用情况及作用。	软件工程 ； 教学方法 ； 游戏模拟教学 ； software engineering ； teaching methods ； game-based simulation teaching ；
28	全覆盖创新教育模式的探索与实践——软件工程专业创新教育模式的实践	吴祖峰	科教导刊(中旬刊)	2016-01-15	期刊	1	22	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJDK201601016&DbName=CJFDLAST2016&DbCode=CJFQ	文章从创新教育的目的和意义出发,阐述了创新教育的重要性,通过分析现阶段学生的特点,阐述了开展创新教育的难点和困惑,最后结合工作实践介绍了全覆盖创新教育模式的举措和效果,总结了根据学科特点全覆盖开展创新教育,可以使创新训练在营造整体氛围、提升学习风气、奠定专业基础、提高职业素养等方面,能够切实提高学生的就业竞争力。	全覆盖 ； 创新 ； 教育 ； 就业竞争力 ； full coverage ； innovation ； education ； competitiveness ；
29	软件工程教学法研究与实践	张菊	无线互联科技	2015-11-10	期刊		18	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201521043&DbName=CJFDLAST2016&DbCode=CJFQ	文章结合软件工程课程的特点,阐述了兴趣引导、任务驱动教学法在课堂教学中的应用,指出了教学设计中要注意的问题,并举例分析其用法。	软件工程 ； 教学方法 ； 兴趣引导 ； 任务驱动 ； software engineering ； teaching method ； interest guiding ； task-driven ；
30	面向信息安全专业的软件工程实践教学探究	程凡	电脑知识与技术	2015-12-21 13:54	期刊		20	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201531024&DbName=CJFDLAST2016&DbCode=CJFQ	软件工程实践是信息安全专业的一门重要课程,是培养合格信息安全工程师的一个基础保障。但针对它的教学研究一直较少。对此该文以安徽大学为例,在分析现有软件工程实践教学不足的基础上,提出从设计面向信息安全专业的实践教学内容;导入具有信息安全特点的实践教学方法;采用突出能力化的实践考核方式和建立基于信息安全专业的创新型实践教学团队等多个方面进行改革。后续试点表明:新的实践教学体系确能有效提高学生工程实践能力和创新能力,为培养高素质的信息安全人才奠定了坚实的基础。	信息安全专业 ； 软件工程实践 ； 教学改革 ； information security specialty ； software engineering practice ； teaching innovation ；
31	面向软件工程数据挖掘的开发测试技术探讨	文娟	无线互联科技	2015-11-25	期刊		15	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201522021&DbName=CJFDLAST2016&DbCode=CJFQ	近年来,信息技术以日新月异的速度飞快发展,对人们日常工作和生活中的各个领域都产生了极大的影响,在这种情况下,各行各业在积极发展过程中开始追求相关软件的开发。软件在使用过程中能够产生大量数据,这些数据能够有效应用于查看代码及存档管理的中,现阶段积极深入挖掘这些数据,对于提高软件工程效率具有重要意义。文章以软件工程数据挖掘为基础,对开发测试技术进行了深入探讨。	软件工程 ； 数据挖掘 ； 开发测试技术 ； software engineering ； data mining ； development and testing technology ；
32	平行实验在《软件工程》教学中的运用	王妍	软件	2015-12-15	期刊		17	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=RJZZ201512009&DbName=CJFDLAST2016&DbCode=CJFQ	《软件工程》是一门理论与实践紧密结合的学科。目前的实验教学存在诸多问题,本文总结了多年来《软件工程》的实验教学经验,提出了章节实验+课程设计的教学实验方案,并在教学中合理运用,取得了有效地成果。	软件工程 ； 课程设计 ； 实验教学 ； Software engineering ； Curriculum design ； Experimental teaching ；
33	电子技术与软件工程		电子技术与软件工程	2016-01-01	期刊		23	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201601203&DbName=CJFDLAST2016&DbCode=CJFQ	<正>《电子技术与软件工程》杂志,是由中国科学技术协会主管、中国电子学会主办的国内外公开发行的一份国家级综合性的全文科技类半月刊。国内刊号:CN10-1108/TP;国际刊号:ISSN2095-5650,旨在全方位推广电子各专业技术以及软件工程新技术、新成果。本刊创刊伊始,得到了中国科学技术协会及中国电子学会领导的高度重视,要求杂志社要倾力打造一本服	软件工程 ； 中国电子学会 ； 一本 ；
34	软件工程专业面向对象程序设计教学改革研究	吴晓琴	科技视界	2016-02-05	期刊		31	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJSJ201604064&DbName=CJFDLAST2016&DbCode=CJFQ	针对用人单位对软件的人才需求,以软件工程专业模块化课程体系为研究对象,提出了面向对象程序设计课程体系及教学方法改革。研究如何将本专业其它课程融入其中,整合教学内容。根据不同的教学内容,探索灵活的教学方法,并提出实践教学方法的改革思想,以提高面向对象程序设计的教学质量。	面向对象程序设计 ； Java ； 课程体系 ； 教学改革 ； Object-Oriented Programming ； Java ； Curriculum system ； Teaching Reformation ；
35	软件工程专业程序设计课程群建设研究与实践	徐洪智	东莞理工学院学报	2016-02-15	期刊	1	67	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DGLG201601025&DbName=CJFDLAST2016&DbCode=CJFQ	程序设计课程群是软件工程专业系列课程的重要组成部分,建设该课程群有利于提高学生程序设计能力,进而提高就业竞争力。分析了学生在学习程序设计课程中的一些问题,提出了程序设计课程群的主要知识和能力体系要求,通过精讲课程主要内容、大规模开展程序设计训练、课程设计、改革考核与评价方式等方法进行课程群教学改革,取得了较好的教学效果。	软件工程 ； 程序设计 ； 课程群 ； 建设 ； 实践 ； software Engineering ； programming ； course group ； construction ； practice ；
36	项目驱动的《软件工程》教学改革与实践研究	张美娜	教育现代化	2015-11-23	期刊		31	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JYXD201515024&DbName=CJFDLAST2016&DbCode=CJFQ	本文根据《软件工程》课程特点,详细地分析了课程教学现状,并寻求了一种项目驱动的教学改革方法,通过案例教学和项目模拟贯穿课程的理论和实验教学环节,给出了考核的改革方法,结合学院的"3+1"教学模式帮助和促进课程的教学改革。最后给出了教学改革的效果,通过实践证明,此教学方法取得了一定的成效。	软件工程 ； 项目驱动 ； 教学改革 ； Software Engineering ； Project Driven ； Teaching Reformation ；
37	软件工程的若干热点技术发展现状与展望	翁垚	电子测试	2015-12-15	期刊	1	41	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WDZC201524018&DbName=CJFDLAST2016&DbCode=CJFQ	对软件重用与软件构件技术进行了概述,并对其中间件、分布式计算以及标准化、智能化技术进行了分析,并对软件开发热点技术相关的软件可靠性工程进行了深入探究,同时研究了Internet、网络等技术的高速发展对软件工程、软件产业的深远影响。	软件工程 ； 技术 ； 展望 ； software engineering ； Technology ； Looking forward to ；
38	电子技术与软件工程		电子技术与软件工程	2015-12-15	期刊		11	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201524228&DbName=CJFDLAST2016&DbCode=CJFQ	<正>《电子技术与软件工程》杂志,是由中国科学技术协会主管、中国电子学会主办的国内外公开发行的一份国家级综合性的权威科技类半月刊,国内刊号:CN10-1108/TP;国际刊号:ISSN2095-5650,旨在全方位推广电子各专业技术以及软件工程新技术、新成果。本刊创刊伊始,得到了中国科学技术协会及中国电子学会领导的高度重视,要求杂志社要倾力打造一本服务于电子技术及软件工程领域的企事业单位。本刊已被中国知网、中文科技期刊、龙源国际期刊网全文收录。	软件工程 ； 中国电子学会 ； 龙源国际 ； 科技期刊 ； 中国知网 ； 企事业单位 ； 一本 ；
