1999年度网民票选中国互联网络优秀网站	1	信息化建设	2000	2000年02期	１、四通利方信息技术有限公司的“新浪网”（６３９１８）ｗｗｗ．ｓｉｎａ．ｃｏｍ．ｃｎ． ２、网易公司的“网易”（５７１６４）ｗｗｗ．１６３．ｃｏｍ ３、搜狐爱特信（北京）信息技术有限公司的“搜狐”（５６１４７）ｗｗｗ·ｓｏｈｕ．ｃｏｍ ４、广州飞华电信工程有限公司的“１６３电子邮局”（３８８６７）ｗｗｗ、 １６３．ｎｅｔ ５、北京京讯公众信息技术有限公司的“首都在线”（３２９５）ｗｗｗ．２６３．ｎｅｔ ６、中国国际网络传讯有限公司的“中华网”（１８８６０）ｗｗｗ．ｃｈｉｎａ．ｃｏｍ． ７、世纪龙信息网络有限责任公司的“２１ＣＮ”（１６４７３）ｗｗｗ．２１ｃｍ．ｃｏｍ． ８、北京东方网景数据通	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002011&dbname=CJFD9902
CNNIC年会传出信息 网络用户将有更多选择	1	信息化建设	2000	2000年02期	联通公司数据通信部副部长李晓明介绍，联通的Ｕｎｉｎｅｔ将在北京、上海、广州设立国际入口，首期开通的城市有北京、上海、广州、天津与成都，上半年推广至全国１３０个城市，对拨号上网的用户提供特服号“１６５”。联通将在联通数据网的平台上组建此业务网，其业务类型有：通过专线与拨号上网（其中拨号上网支持全国漫游的功能）、为中小企业提供虚拟主机业务与主机托管业务、网络资源的出租业务与报供全国范围的虚拟专用网（ＶＰＮ）业务等。Ｕｎｉｎｅｔ的国内其他网络实现大带宽的互联；集中精力于新业务与增殖业务，为ＩＳＰ、ＩＣＰ提供平台。 中国网通公司规划经理王宗贵透露，网通的骨干网将建立在ＩＰ／ＤＷＤＮ上。目前，京津石模	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002016&dbname=CJFD9902
CNNIC推出中文域名系统	1	信息化建设	2000	2000年02期	中国互联网络信息中心（ＣＮＮＩＣ）受信息产业部委托，于日前正式推出了“中文域名试验系统”。该系统的推出，将结束中国人在互联网上只能使用英文域名的历史。 中文域名体系的推广与应用，从用户角度讲，不但可以大大方便中国网民对互联网资源的利用，而且可以拉动更多的潜在用户上网、用网，从而促进我国社会信息化的进程。从商业应用角度看，此举将更有利于我国电子商务的深入发展，因为域名对于公司而言，不亚于商标、品牌的作用，采用中文域名，对于维护商家利用有着不言而喻的重要意义。CNNIC推出中文域名系统	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002018&dbname=CJFD9902
IP骨干网传输技术:一路飞升	1	中国计算机用户	2000	2000年03期	最近两年,电信业务的收入飞速增长,据预测,电信的收入将由1997年的1950亿美元增加到2000年的2600亿美元。与此同时,传统电信业的支柱—电话的收入已经开始逐年下降。电信收入的主要增长点来源于以IP为主的数据业务,预计到2000年,数据业务将占整个电信收入的80％,IP协议也逐步成为数据通信中的主导协认。许多原来的传统电信业务向IP转移。那么,IP骨干网中的传输技术发展如何?	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200003027&dbname=CJFD9902
面向21世纪的信息技术与产业──吴基传部长阐述我国信息技术与产业发展的基本思路	1	计算机系统应用	2000	2000年03期	世纪之交，在中国科协首届学术年会上，信息产业部部长吴基传作了题为“面向２１世纪的信息技术与信息产业”的主题发言，他从面临挑战、发展现状和发展思路三个方面分析了世界信息技术与产业发展趋势，阐述了我国发展信息技术与产业的基本思路。他在发言中指出：当前，信息技术日新月异，其发展速度越来越快，正在有力地推动着社会生产力的发展。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200003001&dbname=CJFD9902
因特网时代的中国IT业	1	计算机系统应用	2000	2000年03期	网络为信息时代奠定了基础，网络利用通信和计算机将商场、银行、厂家、电信、政府、媒体、娱乐进行了交叉融合，本文通过分析因特网给ＩＴ业带来的挑战和机遇，提出我们ＩＴ业应及时调整战略思路，迎接网络时代的到来。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XTYY200003002&dbname=CJFD9902
信息化动态	1	信息化建设	2000	2000年03期	我国互联网络将“提速” 在中国互联网络信息中心日前举办的２０００年年会上信息产业部电信管理局副局长常小兵表示，我国今年将采取相关措施加快互联网络建设。随着国际出入口带宽的拓宽，各大互联网络将“提速”，网上交通堵塞的状况会有所缓解。 为此，信息产业部将创造条件，加快、加大各互联网络的国际出入口宽带“公路”宽度从目前的３５１Ｍ提高到１０００Ｍ以上。他说，今年将首先在北京建设互联网络交换中心。根据需要，信息产业部将统筹规划，在其他地区建设有限的互联网络交换中心。另外，管理部门还将继续促进ＩＳＰ和ＩＣＰ等业务的发展。他说，截止去年底，我国发放的ＩＳＰ经营许可证已从１９９８年底的２０４个发展到５２０个。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200003011&dbname=CJFD9902
INTERNET的基本服务	1	信息化建设	2000	2000年03期	Ｉｎｔｅｒｎｅｔ的服务包括两类：一类是传统的基本的信息应用服务功能，包括Ｅ－ｍａｉｌ、Ｔｅｌｎｅ土、ＦＩＰ；另一类是信息查询服务，如交互式信息服务软件ＷＷＷ、Ｇｏｐｈｅｒ，目录服务软件、ＷＨＯＩＳ、ＮＥＴＰＩＮＤ和Ｘ。５００，索引服务软件Ａｒｃｈｉｅ、Ｖｅｒｏｎｉｃａ、Ｊｕｇｈｅａｄ和ＷＡＩＳ等。在所有这些软件中又以ＷＷＷ浏览器最受欢迎，最为流行。ＷＷＷ我们已在上一节作了介绍。下面我们着重介绍一下Ｉｎｔｅｒｎｅｔ的传统的基本信息应用服务。 电子邮件 Ｅ－Ｍａｉｌ 电子邮件Ｅ－ｍａｉｌ和远程登录Ｔｅｌｎｅｔ及网络文件传输ＦＩＰ是Ｉｎｔｅｒｎｅｔ的三大传统服务，近年来环球信息网服务ＷＷＷ发展很快，	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200003013&dbname=CJFD9902
移动互联网的春天	1	信息化建设	2000	2000年04期	信息时代，无论是人们的工作、生活节奏还是社会发展速度，都显得异常快捷、迅猛。政府上网、电子商务正开展得轰轰烈烈，如火如荼；移动互联网已不再是人们口头谈论的热门话题了，在千呼万唤的期待中，３月２５日，中国移动通信集团公司率先推出“全球通ＷＡＰ”服务。北京、天津、杭州、深圳和广州等六个城市的用户，只需拥有一部ＷＡＰ手机，便可实现无论何时何地都能轻松上网的愿望。虽然这一切还是刚刚起步，但我们相信，万紫千红的移动互联网世界即将来临。 本期“专题报道”刊登的“网络中的新宠──无线网络”和“无线Ｉｎｔｅｒｎｅｔ市场浅析”，分别从技术和市场两个方面对无线网络的发展作了探讨，有助于我们了解和把握无线网络的发展	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200004000&dbname=CJFD9902
2000年,你的企业上网了么——中国企业上网服务联盟大会侧记	1	中国计算机用户	2000	2000年05期	2000年1月19日,由中国万网倡议,国内37家单位共同发起成立了“中国企业上网服务联盟”,其成立大会暨中国企业信息化论坛在京举行,2000年众望所归的被称谓企业上网年。回顾一下,1999年,被称为政府上网年,一时间,政府上网倍受各界关注。那么,2000年,能否成为真正的企业上网年?那么企业为什么要上网?企业上网的内涵是什么?企业上网的角色在哪里?	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200005024&dbname=CJFD9902
Internet预言	1	信息化建设	2000	2000年05期	Ｉｎｔｅｒｎｅｔ正逐步深入人们的日常生活，上网变得越来越方便，速度越来越快，计算机价格和上网费用在下降，Ｉｎｔｅｒｎｅｔ呈爆炸性增长的趋势，商业界也期待着能从中获取最大的利益。但是，由于缺少相应的网络规则，以及Ｉｎｔｅｒｎｅｔ上越来越多的通信量，现在Ｉｎｔｅｒｎｅｔ的全球性发展进程已面临很多障碍。未来的Ｉｎｔｅｒｎｅｔ将向何处发展，新世纪Ｉｎｔｅｒｎｅｔ自身会有哪些改变，也许专家对Ｉｎｔｅｒｎｅｔ的预言能帮助我们走出困惑。 高速发展 未来的Ｉｎｔｅｒｎｅｔ将会变得速度越来越快。１９９９年，一些发达地区的电话电报公司已经开始使用新技术ＤＳＬ来显著提高Ｉｎｔｅｒｎｅｔ的接入速度，它通过电缆、Ｍｏｄ	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005002&dbname=CJFD9902
双重机遇 双重挑战	1	信息化建设	2000	2000年05期	在经过１３年艰苦谈判后，中美双方于 １９９９年 １１月 １５日签署了关于中国加入 ＷＴＯ的双边协议，中国加入世界贸易组织最大的障碍已经被扫清，正式加入ＷＴＯ指日可待。中国正处于全面、彻底开放的前夜，各行各业都在进行全面调整，以更好的迎接ＷＴＯ的带来的机遇与挑战。 加入ＷＴＯ最重大的意义在于中国得以融入全球经济体系，参与全球产业结构的调整与重组。在全球经济一体化的进程中，中国可以根据本国经济特点和优势，扬长避短，积极参与全球产业化重组的进程，更好地为全球经济服务，同时也更好地发展本国经济。 加入ＷＴＯ对于中国方兴未艾的信息产业又意味着什么样的机会呢？中国信息产业从整体上说技术含量不高，而且由于起	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005014&dbname=CJFD9902
专注中的扩展──谈企业生存法则	1	信息化建设	2000	2000年05期	比特时代的企业发展应该遵循什么样的规则？应该树立什么样的标准？有没有这样的规则？有没有这样的标准？所有这一切，有谁说得清楚道得明白？面对一浪高过一浪的兼并风潮，难道我们可以断言这就是趋势吗？在喧嚣的时候我们需要洞悉冷静，正如在“．ＣＯＭ”中我们要善于发现那个虽然不算醒目却可能是最亮的一“点”。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005015&dbname=CJFD9902
网络原动力鼓浪弄潮	1	中国计算机用户	2000	2000年06期	由于近一段时期信息安全等问题日益显露,民族品牌赢得了越来越多的舆论支持。象服务器这样的枢纽设备,也迎来了发展的又一个春天。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200006000&dbname=CJFD9902
江泽民主席为“世界计算机大会”题词	1	信息化建设	2000	2000年06期	我国政府对即将于８月２１—２５日在北京隆重举行的２０００年第１６届世界计算机大会（ＷＣＣ２０００）给予了高度重视，江泽民主席亲自为大会题词“预祝两千年第十六届世界计算机大会圆满成功”，吴邦国副总理出任大会名誉主席，全国政协副主席胡启立担任大会主席，信息产业部部长吴基传担任大会指导委员会主席，信息产业部副部长吕新奎任大会组织委员会主席，中科院院士、著名计算机专家扬芙清教授担任大会国际程序委员会副主席，以加强对大会的领导和组织协调，确保大会圆满成功。 ＷＣＣ２０００每两年举办一次，是隶属于联合国教科文组织的国际信息处理联合会（ＩＦＩＰ）主办的最重要活动，至今已举办过１５届，在国际信息科技届具有权威	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200006013&dbname=CJFD9902
国家计委建议尽快建立电信普遍服务基金制	1	信息化建设	2000	2000年06期	为贯彻电信普遍服务原则，国家计委价格司日前建议参照国际通行做法，尽快建立电信普遍服务基金制度。 电信普遍服务原则是指对任何地点、任何人都实现无差别的可承担得起的电信服务，并使其实现对信息资源的平等接入。中国目前尚处于信息产业发展阶段，在贯彻电信普遍服务原则时有三个问题急需解决：一是边远地区电信基础网络的建设和维护问题；二是农村地区通信网络建设资金严重短缺；三是党政专用通信和救灾应急通信经费每年大约为３０—４０亿元人民币，需要建立相应的补偿机制。 国家计委认为，设立普遍服务基金制度，可供考虑的具体方案有两个：一是在取消固定电话初装费、移动电话入网费和附加在通信业务上的各种附加费、政府性基金、规范	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200006014&dbname=CJFD9902
广东着力营建三大信息体系	1	信息化建设	2000	2000年06期	广东省将建立三大信息体系，即信息网络、信息产业、信息化保障。信息网络体系主要包括：建立和完善省内干线通信传输网络和接入网络；大力开发网络信息资源，实现资源共享；推动信息技术尤其是电子商务在各个领域的应用。信息产业体系则包括：调整电子信息产品制造业的结构，形成一批具雄厚实力的跨行业，跨国界的企业集团和具国际竞争力的拳头产品；扶持软件与系统集成业，形成一定的产业规模；规范产品市场，营造公平竞争环境；发展相关的信息服务业。信息化保障体系主要是指通过规划和制定政策措施加强管理，建立与国际标准兼容的信息化标准，培养一批信息专业人才等。据统计，截至去年底，广东全省上网用户总数１１５万户，占全国的１２．９４	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200006016&dbname=CJFD9902
盖茨预言未来网络:电子图书和网络电话将大发展	1	信息化建设	2000	2000年06期	近日，微软公司董事局主席盖茨在美国西雅图向人们描绘了互联网的未来，其中电子图书和网络电话将大行其道。一星期之后，盖茨将提出他的公司发展战略，引导该软件业巨头向互联网进军。 在由微软承办的年度ＣＥＯ峰会上，微软总裁发表了上述讲话，而对于联邦政府的关于该公司的反垄断案件，他的讲话没有涉及。 对于网络的未来，盖茨认为全球网络的发展正处在一个被他称为“第三阶段”的时期，在这个阶段，全球互联网将成为未来商业的基础并将融入到人们的日常生活当中，而不是人们现在看到的网络公司纷纷赔钱、倒闭的景象。 他说：“我们现在正处在这个阶段的开始阶段。在这个开始阶段，人们会经常问，‘网络能赚到钱吗？’，这是很自然的。”	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200006025&dbname=CJFD9902
华为的比特足迹	1	中国计算机用户	2000	2000年08期	<正> 目前,华为在数据通信领域已经拥有接入服务器、ATM、IP Phone、系列网络产品、ISDN终端等五大系列、30多种产品,成为国内数据通信产品线最完善的企业。 1999年初,华为推出A8010接人服务器,这是业界第一台支持完善的	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200008035&dbname=CJFD9902
免费服务敲响传统寻呼业丧钟	1	中国计算机用户	2000	2000年08期	呼台免收服务费犯不犯法? “行业自律”能不能挽救寻呼业? 寻呼免费多米诺效应多少天后出现? 卡拉永远OK,寻呼永远免费——看你还跑不跑台。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200008038&dbname=CJFD9902
数据通信“路”越走越“宽”——第三届国际数据通信网络技术及应用展览会侧记	1	中国计算机用户	2000	2000年09期	3月14-18日 由中国电信数据通信局与中国科技咨询服务中心共同举办的第三届国际数据通信网络技术及应用展览会(IEDCN-2000)在北京中国国际展览中心隆重举行。这是继1996年7月和1998年7月的两届展览会之后的第三届。随着数据通信技术的发展,应用范围的扩大,本届展览会与前两届会有所区别,也更受关注。那么,展览会都展了些什么?技术的热点又是什么?专题研讨都在讲什么?请看:	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200009028&dbname=CJFD9902
新世纪的华为网络解决方案	1	中国计算机用户	2000	2000年09期	<正> 现有网络演进的趋势为核心网络分组化;接入技术分组化——由目前的虚拟接入技术向分组、宽带接入技术发展;网络设备部件化——网络的构成部件将发展为可拆卸、可组装的标准部件,从而满足用户不同需求;网络互通网关化——未来的网络将统一经过网关进行互连;业务控制分离化——将来提供业务的网络与进行控制的网络互相分离;网络终端智能化——随着技术的发展,网络终端的智能化功能将越来越强,而网络则变为一种单纯的传输系统。这样,一方面可以简化现有网络构造,一方面可	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200009030&dbname=CJFD9902
互联网网站面面观	1	信息化建设	2000	2000年10期	互联网的世界很精彩，因为它给许多年轻人创造了梦想成真的机会，互联网的世界也很无奈，昔日的网络英雄稍有闪失就有可能在顷刻间变得一无所有。重重的内忧外患迫使原本踌躇满志的网站经营冷静下来，深刻思考这样两个问题：采取怎样的经营模式才能生存下去？对于消费者需要提供怎样的服务才有“钱景”？从横向的综合门户网站转变成为垂直的专业网站，已成为２０００年Ｉｎｔｅｒｎｅｔ领域一个值得关注的现象。以拥有国内最早的“常青藤”全中文搜索引擎而著称的长通飞华信息技术有限公司，近日就宣布重新改组定位，推出国内首家全面服务于中国职业经理人的垂直网站“常青藤经理人社区”。与此同时，一些特色鲜明的专业电子商务网站也正在成为实力雄厚的．ＣＯＭ公司青睐的对象。 ２０００年６月 ２０日，美国ＣＯＭＭＥＲＣＥ ＯＮＥ公司以大约 １４亿美元收购了互联网咨询服务公司 ＡＰＰＮＥＴ。而１９９９年在全球营收达２７．５亿美元的Ｔｒａｄ．ｃｏｍ公司，新近又收购了一家经营房产再售及租赁的专业网站Ｖｉｓｉｔｅｎｅｔ．ｃｏｍ。在欧洲，德国波泰尔斯曼娱乐集团公司出资１．１７亿美元收购了网上音乐销售公司ＣＤＮＯＷ。在国内，ｒｅｎｒｅｎ．ｃｏｍ公司相继收购了ｑｉｊｉ．ｃｏｍ和ｄ	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200010012&dbname=CJFD9902
中国互联网八大趋势	1	信息化建设	2000	2000年10期	进入新世纪，中国互联网呈迅猛发展的态势，截止１９９９年底我国网站己发展到１．５万个，网民达８９０万，成为继美、日、英、德等国之后，跻身世界八强之列的国家。遥想２１世纪，中国互联网将呈现如下发展趋势： 一、从数量激增向内容深入转化。过去的几年，我国网站的发展主要是量的积累，即所谓的“网上圈地运动”。短短几年，我国网站就达１．５万个。近几年我国网站的数量仍将迅猛发展，预计到２００５年中国网站将会发展到相对饱和的程度，发展速度将逐年下降。代之而起的将是网站内容的向纵深发展，一些与百姓生活和企业经营联系紧密的专业网站，如电子商务、远程教育、医疗卫生、旅游观光等网站将会越来越受网民的欢迎。 二、从吸引注	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200010015&dbname=CJFD9902
网络时代更需要IEP	1	中国计算机用户	2000	2000年11期	随着互联网在我国的迅猛发展,网络产品市场规模以超过30％的速度迅速扩大。据统计,99年网络设备市场规模约为77亿元,比去年同期增长34.8％。各行各业上网工程的启动,如“政府上网”、“企业上网”、“家庭上网”等,进一步推动国内IEP市场的发展,网络产品市场的“饼”越来越大。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200011029&dbname=CJFD9902
雅虎中国服务中国网民	1	中国计算机用户	2000	2000年11期	<正> 雅虎公司(yahoo.com)于去年9月开通——雅虎中国网站(yahoo.com.cn),其目的是通过与业界领先厂商的密切合作,向迅速增长的国内互联网用户提供本地化的内容和讯息交流服务。雅虎中国网站自开通以来,已经成为中国网民访问的热门站点之一。 随着中国上网人数的撤增,中国人开始把互联网作为进行联络和沟通的主要手段。电子邮件是网上交流的入门课,为此雅虎中国在其免费的中文	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200011032&dbname=CJFD9902
